Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/30/2019,28.2,16.7,21.6,7.3,,,,13.9,,24.3,45.53,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/31/2019,41.6,16,28.4,5.9,,,,7.8,,33.5,44.22,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/01/2019,56,38.3,47.8,35.3,,,,11.7,,42.5,50.57,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/02/2019,64.7,43.2,50.9,41.5,,,,5.5,,33.6,59.08,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/03/2019,68,38.7,52.8,,,,,11.3,,20.1,70.24,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/04/2019,66.1,48.2,57.5,46.6,,,,15.9,31.1,36.3,84.28,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/05/2019,72.2,54.4,64.3,,,,,10.5,,40.2,80.25,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/06/2019,69.5,59.1,63.8,,,3.7,,14.3,31.1,40,89.38,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/07/2019,76.3,43.7,65.6,37.2,,0.5,,24.2,43.7,54,77.95,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/08/2019,40.8,25.3,31.1,15.1,,,,18.2,,34.1,59.81,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/09/2019,41.6,21.6,31.4,10.5,,,,13.1,,32.1,54.41,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/10/2019,46.3,36.2,41.4,31.5,,0.8,,8.8,,41.5,79.35,"Rain, Partially cloudy"
