Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/01/2019,84.4,65.3,73.8,,84.9,,,17.8,32.2,39.5,66.58,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/02/2019,84.4,62.1,71.6,,85.2,0.4,,13.1,37.9,34.5,77.28,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/03/2019,73.7,64.2,68.7,,,0.2,,10.2,,37.5,84.82,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/04/2019,72.6,63.6,67,,,0.3,,8,,44.1,88.28,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/05/2019,68,56.8,62.3,,,0.1,,9.5,,32.3,84.83,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/06/2019,77.9,50.5,65,,,,,6.7,,16.9,67.32,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/07/2019,83.3,54.5,69.8,,82.4,,,6.3,,27,64.92,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/08/2019,87.9,60,74.5,,87.1,,,16.1,,18.2,62.32,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/09/2019,76.6,64.6,70,,,0.4,,20,42.5,39.3,78.8,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/10/2019,71.9,58,65.5,,,,,9.5,,43,84.62,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/11/2019,68.5,57.5,62.9,,,0.3,,8.7,,40.1,89.17,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/12/2019,66.2,56.4,61,,,,,9,,39.5,84.11,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/13/2019,63.9,51.2,57.1,,,,,11.7,,26.4,70.91,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/14/2019,70.6,44.1,57.8,,,,,6.4,,12.7,66.34,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/15/2019,68.1,49.2,58.7,,,0.1,,10.1,,45.4,80.39,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/16/2019,86.7,54.1,71.9,,87.8,,,9.3,,49.3,67.32,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/17/2019,87.9,69.4,79,,87.6,,,12.8,,53.2,57.65,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/18/2019,89.2,64.9,77.6,,89.9,,,17.1,,31.7,61.36,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/19/2019,80.1,70.1,74,,81.1,0.1,,16.4,,60.1,69.7,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/20/2019,85.3,65.4,74.7,,83.8,,,8.6,,15.7,64.13,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/21/2019,91.2,60.5,76.7,,91.9,,,15.1,,17.2,59.25,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/22/2019,90.2,72.2,81.2,,92.2,,,16.8,,27.5,56.56,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/23/2019,90.8,69.8,80.5,,91.9,,,13.8,,23.2,54.91,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/24/2019,91.7,65.8,79.7,,93.9,,,8.5,,19.7,66.31,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/25/2019,91.6,70.3,80.9,,92.8,,,14.8,,24.3,63.52,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/26/2019,92.1,66.9,80.4,,92.4,,,15.2,,19.1,60.78,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/27/2019,92.4,67.6,80.7,,94.7,,,11.7,,27.9,63.27,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/28/2019,91.7,72,82.3,,93.7,,,18.4,,26.1,60.7,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/29/2019,93,77.3,83.7,,92.7,,,17.6,33.3,28.6,52.21,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/30/2019,84,70,76.2,,86.2,,,15.3,,43.1,69.61,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",05/31/2019,83.8,65.2,74.6,,82.7,,,9.9,,22.1,62.26,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/01/2019,86,61.6,74.5,,85.1,,,10.7,,17.8,64.72,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/02/2019,89.1,66.4,77.8,,88.6,,,13.7,,35.5,59.05,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/03/2019,82.7,65,73.7,,80.7,,,9.2,,20.9,46.87,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/04/2019,86.4,61.1,74.4,,84.7,,,12.6,,34.7,48.9,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/05/2019,93.1,73.3,81.3,,96.1,,,14,,37.6,56.68,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/06/2019,78.5,71.7,74.6,,,0.1,,10,,42.1,80.37,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/07/2019,76.6,70.3,72.1,,,1.9,,8.1,,38.3,90.39,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/08/2019,82.2,70.3,74.7,,85.8,0.3,,9.3,,39.9,84.45,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/09/2019,85.2,72.5,76.6,,89.5,0.9,,10,,40.3,79.86,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/10/2019,80.8,65.1,74.5,,83.9,,,16.4,,28.9,71.73,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/11/2019,77.1,57.1,67.7,,,,,14.4,,22.5,55.21,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/12/2019,80,59.4,69.7,,,,,12.2,,54.9,62.04,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/13/2019,78,60.2,68.6,,,,,16.5,,28.4,53.82,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/14/2019,80.8,52.6,68.2,,79.8,,,13.3,,38.1,53.96,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/15/2019,88,68.8,78.5,,88,,,19.7,31.1,52.8,50.86,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/16/2019,91.7,73.3,81.9,,94.9,,,17.2,,53.8,59.56,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/17/2019,89,70.8,78.5,,92.2,0.3,,10.9,35.6,78.4,71.55,"Rain, Overcast"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/18/2019,84.7,70.1,76.3,,87.6,1,,8.2,,88.1,77.75,"Rain, Overcast"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/19/2019,88,70,78.7,,92.4,0.9,,15.1,43.4,81.7,73.24,"Rain, Overcast"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/20/2019,84.1,70.3,75.5,,86.3,0.1,,12.8,,40,76.98,"Rain, Partially cloudy"
